Epoch, Loss, Validation Loss, Accuracy
1, 0.1185, 0.4459, 86.35%
2, 0.0815, 0.5175, 87.67%
3, 0.0742, 0.5422, 85.41%
4, 0.0907, 0.4716, 87.37%
5, 0.0418, 0.6849, 87.16%
6, 0.0557, 0.7308, 84.39%
7, 0.0389, 1.0438, 84.81%
8, 0.0472, 0.6364, 86.73%
9, 0.0313, 0.8208, 86.69%
10, 0.0312, 0.7022, 86.90%
