Epoch,Loss,Validation Loss,Accuracy
1,0.11850183827625792,0.44585426733199807,86.3481228668942
2,0.08154526587242573,0.5175112614666137,87.67064846416382
3,0.07420937389553436,0.5421509707057094,85.40955631399318
4,0.09069305000636373,0.47161046452694444,87.37201365187714
5,0.04181683689451872,0.6848642354122382,87.15870307167235
6,0.05568976764270635,0.7307791224699719,84.38566552901024
7,0.038858416325830765,1.0438144013347188,84.81228668941979
8,0.04719784256601094,0.6364008973453295,86.7320819112628
9,0.031284403650941546,0.8208018783871257,86.68941979522184
10,0.031192864299654947,0.7022133135705607,86.90273037542661
